"","subj.id","condition","trial","order","order2","subject_name","age","sex","z.age","z.trial","z.order","condition.dummy","order.dummy","condition.c","order.c","correct"
"1","subj.1","control",1,"test_first",2,"Akela",31,"Female",1.14894852825888,-1.59117911045189,0.998697067850574,0,1,-0.5,0.5,0
"2","subj.2","control",1,"test_first",2,"AliKaka",20,"Male",-0.536175979854142,-1.59117911045189,0.998697067850574,0,1,-0.5,0.5,0
"3","subj.3","control",1,"control_first",1,"Nyankuru",29,"Male",0.842562254056509,-1.59117911045189,-0.998697067850574,0,0,-0.5,-0.5,1
"4","subj.4","control",1,"test_first",2,"Roy",12,"Male",-1.76172107666361,-1.59117911045189,0.998697067850574,0,1,-0.5,0.5,1
"5","subj.5","control",1,"control_first",1,"Tess",27,"Female",0.536175979854142,-1.59117911045189,-0.998697067850574,0,0,-0.5,-0.5,0
"6","subj.6","control",1,"test_first",2,"Uruhara",30,"Male",0.995755391157692,-1.59117911045189,0.998697067850574,0,1,-0.5,0.5,0
"7","subj.7","control",1,"control_first",1,"William",19,"Male",-0.689369116955325,-1.59117911045189,-0.998697067850574,0,0,-0.5,-0.5,0
"8","subj.8","control",1,"test_first",2,"Akela",31,"Female",1.14894852825888,-1.59117911045189,0.998697067850574,0,1,-0.5,0.5,1
"9","subj.9","control",1,"control_first",1,"Mary",15,"Female",-1.30214166536006,-1.59117911045189,-0.998697067850574,0,0,-0.5,-0.5,0
"10","subj.10","control",1,"control_first",1,"Amizero",30,"Female",0.995755391157692,-1.59117911045189,-0.998697067850574,0,0,-0.5,-0.5,0
"11","subj.11","control",1,"test_first",2,"Bahati",26,"Female",0.382982842752958,-1.59117911045189,0.998697067850574,0,1,-0.5,0.5,0
"12","subj.12","control",1,"control_first",1,"Chipie",28,"Female",0.689369116955325,-1.59117911045189,-0.998697067850574,0,0,-0.5,-0.5,0
"13","subj.13","control",1,"test_first",2,"Amahirwe",20,"Male",-0.536175979854142,-1.59117911045189,0.998697067850574,0,1,-0.5,0.5,1
"14","subj.14","control",1,"control_first",1,"Dufa",28,"Female",0.689369116955325,-1.59117911045189,-0.998697067850574,0,0,-0.5,-0.5,0
"15","subj.15","control",1,"test_first",2,"Jane",15,"Female",-1.30214166536006,-1.59117911045189,0.998697067850574,0,1,-0.5,0.5,1
"16","subj.16","control",1,"control_first",1,"Joy",15,"Female",-1.30214166536006,-1.59117911045189,-0.998697067850574,0,0,-0.5,-0.5,1
"17","subj.1","test",1,"test_first",1,"Akela",31,"Female",1.14894852825888,-1.59117911045189,-0.998697067850574,1,1,0.5,0.5,0
